Testing size of 20000--------------,,,,Recursion limit (x),20k,40k,60k,80k,100k,200k,400k,500k,550k,600k,670k,700k,800k,1 million,2 million,3 million,4 million,5 million ,6 million,8 million,
2,9,,,2,9,6,10,12,17,45,122,141,897,157,243,378,260,535,1250,2144,2283,3382,4131,5684,
4,14,,,4,14,6,9,14,19,46,126,143,215,168,232,419,252,591,1359,2091,2118,3360,4122,6200,
6,17,,twnety k ,6,17,6,9,12,18,45,133,142,224,156,240,334,252,620,1278,1330,1867,3282,4306,5916,
8,11,,,8,11,6,9,12,16,46,110,129,166,159,236,380,229,578,1357,1801,2160,3402,4192,6116,
10,11,,,10,11,5,8,12,15,41,109,130,187,158,216,343,275,565,1311,2085,2186,3345,4198,5862,
12,9,,,12,9,5,8,12,15,41,121,149,174,152,221,333,249,616,1349,2085,1886,3452,4222,5904,
14,5,,,14,5,6,8,11,16,40,105,152,191,178,219,312,260,596,1696,2115,1735,3622,4209,5843,
16,5,,,16,5,6,8,11,19,40,97,139,214,205,208,313,241,596,1313,2081,1767,3618,4046,5854,
18,8,,,18,8,5,9,11,16,45,93,155,236,145,211,346,286,584,1352,2181,2304,3458,4428,5820,
20,9,,,20,9,5,8,11,16,47,124,132,185,145,227,241,238,595,1561,2183,2049,4330,4204,5816,
22,9,,,22,9,5,8,11,16,44,97,143,222,150,223,354,268,588,1382,2292,1980,5300,4106,6119,
24,9,,,24,9,5,8,11,15,46,98,154,182,182,236,315,250,555,1482,2217,1831,3435,4151,6153,
26,8,,,26,8,5,8,11,15,53,100,150,190,160,221,353,271,611,1532,2183,1793,4156,4308,5999,
28,9,,,28,9,5,8,11,15,48,128,139,206,156,228,363,246,625,1461,2193,2532,3540,4281,5994,
30,13,,,30,13,6,9,12,15,44,107,150,190,163,243,352,337,604,1302,2372,,3464,4178,6166,97168
32,8,,,32,8,5,9,13,15,45,101,150,185,183,216,392,255,634,1386,2290,,3523,4217,6012,7145
34,7,,,34,7,5,9,13,16,48,117,157,202,163,270,356,296,609,1411,2155,3938,3557,5480,6090,
36,8,,,36,8,5,11,15,16,45,131,145,190,157,283,431,248,613,1504,2272,1920,3602,4387,6492,
38,6,,,38,6,5,10,12,16,48,105,150,211,159,238,338,292,633,1353,2253,1750,4164,4455,6248,
40,8,,,40,8,5,9,12,16,48,113,176,240,198,254,355,273,646,1538,2304,1766,3692,4362,6404,
42,9,,,42,9,6,10,12,16,46,113,162,212,161,243,364,297,635,1617,2284,1725,3541,4447,6285,
44,10,,,44,10,5,9,12,17,46,121,155,197,164,233,425,272,632,1444,2414,1780,3834,4635,6440,
46,8,,,46,8,6,9,12,16,46,114,189,207,192,290,451,295,618,1573,2309,1803,3672,4720,6439,
48,10,,,48,10,6,9,12,16,49,115,157,209,188,247,380,264,667,1428,2348,1972,3966,4856,6506,
50,7,,,50,7,7,9,15,17,50,111,198,234,177,236,365,308,650,1475,2342,1789,3908,4530,6454,
52,6,,,52,6,6,10,14,16,51,129,156,217,183,274,361,278,640,1497,2554,1787,3782,4484,6296,
54,5,,,54,5,6,9,12,16,55,128,155,217,221,255,392,327,706,1720,2477,1799,3794,4578,6519,
56,5,,,56,5,6,9,12,15,53,115,186,232,190,257,422,282,638,1536,2344,1798,3866,4693,6474,
58,5,,,58,5,7,9,12,16,55,123,176,209,183,266,392,303,709,1042,2439,1879,3936,4593,6639,
60,5,,,60,5,6,9,14,15,55,140,217,221,182,252,398,285,708,1172,2382,1819,3985,4515,6610,
62,5,,,62,5,6,9,14,16,54,120,202,235,208,260,387,315,669,1603,2473,1880,3959,4578,6730,
64,4,,,64,4,6,9,12,16,57,130,167,236,190,284,432,295,691,1975,2361,1853,4066,4589,6593,
66,5,,,66,5,6,9,12,15,57,135,208,225,192,278,399,318,669,1597,2392,1862,3938,4678,6613,
68,6,,,68,6,6,9,13,15,64,139,210,245,215,278,376,288,694,1652,2608,1892,3919,4755,6854,
70,8,,,70,8,6,9,13,15,58,128,171,247,193,298,369,341,743,1702,2437,1899,3964,4807,6708,
72,12,,,72,12,6,9,13,16,59,130,194,231,193,281,368,294,668,979,2803,1891,4123,5116,7303,
74,11,,,74,11,6,10,14,16,62,129,174,262,191,291,475,339,708,1167,2651,1940,4337,4733,6923,
76,9,,,76,9,6,9,14,16,61,154,194,244,224,304,435,324,822,1172,2592,1905,3999,4871,6770,
78,7,,,78,7,6,9,15,16,59,137,196,245,200,284,485,337,753,1454,2691,1943,4181,4818,6862,
80,5,,,80,5,7,10,13,17,63,133,180,255,203,314,446,309,713,1429,2656,1931,3990,4950,6864,
82,5,,,82,5,7,10,13,18,65,131,203,244,199,289,455,333,729,1084,2769,1927,3980,4781,6940,
84,5,,,84,5,8,10,16,23,61,154,193,283,255,312,483,316,756,995,2709,1971,4002,4981,7143,
86,10,,,86,10,7,10,15,18,60,138,179,254,204,309,545,356,907,1275,2966,2046,4010,5055,6930,
88,6,,,88,6,7,11,15,17,64,169,209,248,297,326,588,325,762,1269,2747,2029,4393,5143,7038,
90,5,,,90,5,8,10,14,18,62,142,187,264,348,325,454,345,749,1146,2723,1990,4087,5102,7150,
92,7,,,92,7,6,10,14,18,65,155,197,269,233,320,560,326,751,1143,2929,2045,4109,5047,6959,
94,5,,,94,5,7,10,14,19,64,146,211,272,202,333,549,358,766,1092,2691,2060,4310,5058,7131,
96,7,,,96,7,7,10,15,17,64,141,194,309,209,320,332,356,802,1047,2737,2063,4863,5240,7296,
98,22,,,98,22,7,10,15,20,65,152,217,285,210,341,352,359,770,1253,2777,2096,4416,5068,7211,
100,20,,,100,20,6,10,16,17,66,165,201,270,215,324,574,326,781,1333,2744,2078,4620,4961,7289,
102,22,,,102,22,7,10,16,19,65,145,193,262,248,327,747,376,797,1078,2765,2280,5038,5175,7234,
104,17,,,104,17,6,10,15,18,76,151,229,295,225,324,615,336,797,1048,2813,2186,4282,5148,7249,
106,13,,,106,13,8,11,15,18,71,150,205,283,215,338,592,394,800,1073,2803,2114,4209,5153,7587,
